,name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
175,376,6,2,1981,924,7.2,4400.0,2261,3749,1842,55,1500000.0,,335,96.0
176,6179,4,0,1981,2362,5.1,2000.0,2885,1721,1521,55,18000000.0,12617845.0,909,98.0
177,5078,4,1,1981,908,5.2,1300.0,883,2095,1597,54,14000000.0,2022771.0,1777,118.0
178,3911,6,10,1981,3133,5.6,2400.0,1579,3791,1594,55,,1169875.0,1535,88.0
179,405,6,0,1981,332,5.5,3600.0,2631,1777,471,55,3800000.0,,99,106.0
180,7503,6,6,1981,1125,6.8,1100.0,1726,2671,555,55,2700000.0,3256082.0,2281,103.0
181,4557,6,6,1981,3101,5.9,1600.0,958,1486,1057,55,,14492125.0,1379,117.0
182,986,6,4,1981,617,6.5,4500.0,272,1365,1045,55,10000000.0,7258543.0,1264,96.0
183,1012,6,4,1981,2362,6.1,2900.0,2090,2627,2220,55,11000000.0,31261269.0,2281,94.0
184,3667,6,4,1981,1981,7.0,3600.0,55,94,47,55,,2863642.0,731,93.0
185,2436,4,4,1981,687,4.3,1300.0,86,2138,126,55,12000000.0,2154696.0,2281,78.0
186,563,6,1,1981,1981,5.6,829.0,1828,1423,2322,55,,11809387.0,529,94.0
187,5346,4,4,1981,2278,5.0,761.0,1025,369,2246,55,3500000.0,17569027.0,676,100.0
188,4435,6,6,1981,3203,6.8,1400.0,1130,4446,2462,55,,1976198.0,2281,94.0
189,7344,6,4,1981,1244,7.3,2700.0,1364,517,2208,55,13000000.0,8206145.0,1637,119.0
190,2759,4,6,1981,3193,2.7,659.0,2715,3693,1576,45,46000000.0,5200986.0,1767,140.0
191,322,6,4,1981,2184,5.5,1700.0,1233,4386,877,55,14000000.0,4454295.0,2281,87.0
192,6476,4,1,1981,2561,5.6,1100.0,2423,1733,2242,55,12000000.0,3702028.0,1870,100.0
193,4620,6,6,1981,617,5.4,1100.0,44,1668,1110,55,16000000.0,10851261.0,1304,116.0
194,4065,6,4,1981,3280,6.5,1300.0,990,3136,1756,55,,25524778.0,731,120.0
195,2555,4,0,1981,413,5.2,928.0,1439,1225,606,55,24000000.0,2004742.0,899,107.0
196,4182,4,4,1981,2913,4.9,920.0,670,670,342,55,,18838812.0,1812,94.0
197,3051,4,0,1981,2225,5.5,384.0,2066,933,961,55,2000000.0,1791147.0,1870,90.0
198,4756,6,10,1981,1124,2.9,674.0,363,577,2107,55,,,543,82.0
199,5752,4,4,1981,2184,5.0,1200.0,2650,2832,749,55,,16000000.0,2317,96.0
200,5474,6,5,1981,917,5.8,782.0,415,3655,1313,6,,6892098.0,339,112.0
201,3305,9,4,1981,0,5.1,101.0,781,367,1586,55,,,1208,100.0
202,1277,6,18,1981,1532,5.1,499.0,847,4492,2663,25,,12000000.0,1547,91.0
203,3171,3,1,1981,2084,6.9,1100.0,1140,572,340,14,,17110.0,1504,129.0
204,4905,4,6,1981,2952,6.3,228.0,88,3210,746,6,,1622898.0,2281,94.0
205,1927,6,4,1982,321,7.2,98000.0,96,583,2393,55,4500000.0,27092880.0,2281,90.0
206,804,6,0,1982,1817,8.1,710000.0,2328,1591,959,55,28000000.0,41676878.0,2187,117.0
207,6678,6,10,1982,1817,8.1,382000.0,1374,435,1542,55,15000000.0,19632053.0,2281,109.0
208,1289,6,0,1982,2270,6.9,141000.0,1423,3623,179,55,20000000.0,68851475.0,2281,129.0
209,1721,4,7,1982,1687,7.8,381000.0,2660,2900,986,55,10500000.0,792910554.0,2281,115.0
210,1996,6,0,1982,2946,7.7,234000.0,2710,1005,2538,55,15000000.0,125212904.0,183,93.0
211,409,6,6,1982,321,7.0,52000.0,2706,1165,2211,55,7500000.0,129795554.0,1532,124.0
212,2301,4,4,1982,1687,4.4,34000.0,2109,2422,1896,55,13200000.0,15171476.0,1812,115.0
213,444,4,4,1982,1745,6.6,41000.0,1406,606,30,55,50000000.0,57063861.0,731,127.0
214,4305,4,10,1982,1897,7.3,148000.0,2760,4084,1248,55,10700000.0,77142388.0,1637,114.0
215,73,6,0,1982,868,6.9,73000.0,2864,3718,1991,55,12000000.0,78868508.0,1812,96.0
216,5128,4,0,1982,1897,7.7,115000.0,2030,1445,2771,55,11200000.0,78912963.0,1812,113.0
217,4154,6,1,1982,2489,4.9,2500.0,2669,4093,2772,6,,5588800.0,940,100.0
218,6141,6,4,1982,1601,6.3,8100.0,279,456,1579,55,,5829781.0,566,92.0
219,5039,6,6,1982,2170,7.6,44000.0,44,4485,1840,54,12000000.0,30036000.0,1327,150.0
220,2157,4,3,1982,1031,8.0,220000.0,2286,2088,225,54,22000000.0,52767889.0,1350,191.0
221,6925,4,4,1982,676,7.4,100000.0,2686,1135,695,55,21000000.0,177200000.0,731,116.0
222,6994,4,0,1982,1656,6.8,115000.0,2653,4074,1161,55,17000000.0,33000525.0,2317,96.0
223,6571,1,2,1982,1447,7.6,37000.0,735,3608,740,55,7000000.0,14665733.0,283,82.0
224,6125,4,4,1982,967,7.8,94000.0,1829,3293,2240,55,20000000.0,2536242.0,939,109.0
225,4611,4,6,1982,2432,6.8,179000.0,2689,4122,2538,55,17000000.0,125052686.0,631,99.0
226,5527,4,0,1982,403,6.2,22000.0,736,1129,1717,55,8000000.0,14056528.0,1488,118.0
227,1356,6,4,1982,2551,6.9,44000.0,953,4014,946,55,8000000.0,21028755.0,2277,120.0
228,6257,4,1,1982,2752,7.3,8200.0,966,3,1514,2,3500000.0,20659423.0,550,102.0
229,4251,6,6,1982,3193,8.0,78000.0,49,3721,279,54,12000000.0,22265763.0,1174,95.0
230,1096,6,8,1982,117,6.2,20000.0,2151,1050,1958,55,18000000.0,7000000.0,1921,118.0
231,1904,6,6,1982,675,8.1,59000.0,1109,1699,240,48,6000000.0,6795771.0,685,188.0
232,2111,6,10,1982,321,5.7,49000.0,2639,2819,538,55,2300000.0,36690067.0,1812,95.0
233,1988,4,0,1982,1745,6.0,26000.0,507,114,483,55,18000000.0,46708276.0,1582,136.0
234,2359,6,10,1982,2946,5.0,45000.0,2806,4300,2632,55,2500000.0,14400000.0,861,98.0
235,5723,4,1,1982,676,7.2,63000.0,1307,1011,1238,54,15000000.0,41630431.0,1327,93.0
236,6727,6,6,1982,676,7.7,37000.0,2560,366,2090,55,16000000.0,53993738.0,2253,129.0
237,4245,3,10,1982,3266,6.1,9300.0,1524,1114,458,47,300000.0,2032311.0,150,85.0
238,7488,6,4,1982,3336,4.9,6500.0,2376,560,2368,55,,16897768.0,940,98.0
239,4940,4,4,1982,1447,5.9,2800.0,576,3046,1485,55,,20225989.0,2253,108.0
240,6800,6,4,1982,1526,7.2,25000.0,970,2144,2262,55,17000000.0,29712172.0,1796,136.0
241,1583,6,4,1982,2354,7.1,19000.0,211,361,2506,55,5000000.0,14099953.0,1637,110.0
242,5540,6,4,1982,1526,6.0,10000.0,514,2523,342,55,35000000.0,69701637.0,2281,114.0
243,6810,4,6,1982,969,7.1,20000.0,2214,1047,1826,2,13000000.0,10278575.0,1637,115.0
244,3912,6,4,1982,1601,6.6,15000.0,2432,2655,987,55,,21095638.0,1582,106.0
245,5255,6,4,1982,1447,5.7,3900.0,2269,3478,2119,55,,4968000.0,1074,98.0
246,7176,4,4,1982,2031,7.6,20000.0,275,447,1391,54,,28229046.0,1637,134.0
247,6164,1,2,1982,2614,7.4,25000.0,1527,3388,1161,54,3500000.0,6455330.0,1933,92.0
248,5801,6,6,1982,1067,6.7,15000.0,2559,1377,203,55,9000000.0,13277558.0,170,125.0
249,285,4,4,1982,610,6.2,50000.0,1578,2422,2246,55,15000000.0,27150534.0,1812,85.0
250,6694,4,4,1982,610,5.8,11000.0,2294,1365,2220,55,17000000.0,47118057.0,731,102.0
251,6027,6,10,1982,1568,6.0,7800.0,1809,2793,1438,55,425000.0,10604986.0,2285,91.0
252,1856,4,5,1982,2176,7.1,15000.0,1029,287,2131,54,10000000.0,6110670.0,899,117.0
253,6659,6,0,1982,222,5.6,5700.0,58,4274,1584,55,,39103425.0,2105,99.0
254,1506,6,0,1982,976,6.0,15000.0,1948,957,390,55,2000000.0,16100000.0,1169,89.0
255,4912,6,0,1982,117,5.5,5300.0,1924,2291,471,55,4500000.0,10490791.0,731,103.0
256,3551,4,0,1982,1817,3.7,3400.0,1041,470,207,17,20000000.0,5675599.0,1176,99.0
257,4219,6,6,1982,1827,6.3,2600.0,2395,3679,1733,55,16000000.0,5672311.0,2180,128.0
258,1479,4,4,1982,2354,6.9,21000.0,376,591,2509,55,9000000.0,18196170.0,260,88.0
259,388,6,10,1982,3273,5.5,11000.0,550,4300,1092,32,5000000.0,12534817.0,861,104.0
260,3643,4,3,1982,1974,7.7,19000.0,524,802,1045,55,9500000.0,14000000.0,1869,122.0
261,2079,6,3,1982,1965,7.3,7300.0,999,1281,1223,55,,,494,140.0
262,6573,6,17,1982,1302,4.9,1100.0,664,1026,1940,55,,11378339.0,2198,104.0
263,1051,4,4,1982,917,6.7,3500.0,663,2201,1991,55,11300000.0,5301539.0,620,120.0
264,1513,4,4,1982,2031,7.0,13000.0,2560,1700,1850,55,,19282134.0,2319,116.0
265,5421,4,6,1982,1601,6.5,2000.0,2748,3808,1790,55,,7400000.0,2317,103.0
266,6885,4,10,1982,2614,3.6,1700.0,2785,1871,227,55,750000.0,,518,83.0
267,2694,6,5,1982,142,5.9,1500.0,2317,3034,177,55,,1515578.0,170,111.0
268,5404,4,4,1982,3273,6.5,2200.0,2144,3319,1283,55,13000000.0,5005245.0,731,140.0
269,7472,6,4,1982,1447,5.5,3000.0,914,2940,1869,55,,30688860.0,56,96.0
270,3810,4,4,1982,3093,7.4,9000.0,2289,3202,2126,55,,20123620.0,1637,92.0
271,5188,4,5,1982,2614,6.1,4300.0,2355,3601,2297,55,10000000.0,5979947.0,2272,93.0
